Date,Transmitter,Receiver,latitude,longitude,station,Arrival,Departure,Detections,residencetime
2016-11-06,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-06T15:02:00Z,2016-11-06T15:13:00Z,8,660
2016-11-06,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-11-06T07:48:00Z,2016-11-06T07:55:00Z,6,420
2016-11-06,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-06T06:07:00Z,2016-11-06T06:21:00Z,11,840
2016-11-07,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-07T08:54:00Z,2016-11-07T10:21:00Z,35,5220
2016-11-07,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-07T17:24:00Z,2016-11-07T18:53:00Z,7,5340
2016-11-07,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-11-07T00:23:00Z,2016-11-07T00:41:00Z,13,1080
2016-11-07,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-07T06:37:00Z,2016-11-07T06:53:00Z,10,960
2016-11-07,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-07T02:09:00Z,2016-11-07T02:23:00Z,12,840
2016-11-07,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-07T21:27:00Z,2016-11-07T21:27:00Z,1,30
2016-11-07,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-07T23:30:00Z,2016-11-07T23:48:00Z,9,1080
2016-11-08,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-08T14:30:00Z,2016-11-08T14:53:00Z,15,1380
2016-11-08,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-08T05:13:00Z,2016-11-08T05:44:00Z,17,1860
2016-11-08,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-08T07:04:00Z,2016-11-08T07:24:00Z,15,1200
2016-11-08,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-08T10:12:00Z,2016-11-08T11:32:00Z,27,4800
2016-11-08,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-08T17:53:00Z,2016-11-08T18:23:00Z,18,1800
2016-11-08,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-08T04:33:00Z,2016-11-08T04:40:00Z,4,420
2016-11-08,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-08T16:29:00Z,2016-11-08T16:45:00Z,10,960
2016-11-08,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-08T02:37:00Z,2016-11-08T02:52:00Z,11,900
2016-11-08,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-08T15:45:00Z,2016-11-08T15:58:00Z,8,780
2016-11-08,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-08T20:02:00Z,2016-11-08T20:27:00Z,13,1500
2016-11-08,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-08T03:43:00Z,2016-11-08T03:57:00Z,9,840
2016-11-08,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-08T18:44:00Z,2016-11-08T19:03:00Z,13,1140
2016-11-09,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-09T07:41:00Z,2016-11-09T08:05:00Z,17,1440
2016-11-09,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-09T04:09:00Z,2016-11-09T04:14:00Z,4,300
2016-11-09,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-09T22:13:00Z,2016-11-09T22:24:00Z,7,660
2016-11-09,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-09T14:32:00Z,2016-11-09T14:45:00Z,6,780
2016-11-09,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-09T21:11:00Z,2016-11-09T21:19:00Z,7,480
2016-11-09,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-09T06:53:00Z,2016-11-09T07:13:00Z,12,1200
2016-11-09,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-09T02:56:00Z,2016-11-09T03:18:00Z,13,1320
2016-11-09,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-11-08T23:02:00Z,2016-11-09T00:07:00Z,45,3900
2016-11-09,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-09T15:45:00Z,2016-11-09T15:50:00Z,4,300
2016-11-09,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-09T04:47:00Z,2016-11-09T04:58:00Z,8,660
2016-11-09,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-09T16:32:00Z,2016-11-09T16:39:00Z,6,420
2016-11-09,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-09T09:17:00Z,2016-11-09T09:29:00Z,7,720
2016-11-09,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-09T20:29:00Z,2016-11-09T20:45:00Z,10,960
2016-11-10,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-10T19:27:00Z,2016-11-10T20:06:00Z,17,2340
2016-11-10,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-10T12:33:00Z,2016-11-10T13:16:00Z,24,2580
2016-11-10,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-10T17:32:00Z,2016-11-10T17:47:00Z,7,900
2016-11-10,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-10T10:15:00Z,2016-11-10T10:36:00Z,11,1260
2016-11-10,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-10T23:36:00Z,2016-11-10T23:39:00Z,3,180
2016-11-10,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-10T18:33:00Z,2016-11-10T18:50:00Z,12,1020
2016-11-10,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-10T15:00:00Z,2016-11-10T15:10:00Z,6,600
2016-11-10,A69-1601-52644,VR2W-122336,51.07363,4.19007,s-4c,2016-11-10T19:20:00Z,2016-11-10T19:20:00Z,1,30
2016-11-10,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-10T14:19:00Z,2016-11-10T14:26:00Z,6,420
2016-11-10,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-10T06:36:00Z,2016-11-10T07:11:00Z,21,2100
2016-11-10,A69-1601-52644,VR2W-115444,51.03955,4.16605,s-Vlassenbroek,2016-11-10T07:33:00Z,2016-11-10T07:43:00Z,4,600
2016-11-10,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-10T03:34:00Z,2016-11-10T03:43:00Z,5,540
2016-11-10,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-10T21:00:00Z,2016-11-10T21:07:00Z,6,420
2016-11-10,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-10T11:09:00Z,2016-11-10T11:21:00Z,9,720
2016-11-10,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-10T04:08:00Z,2016-11-10T04:23:00Z,11,900
2016-11-10,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-10T02:32:00Z,2016-11-10T02:49:00Z,11,1020
2016-11-11,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-11T03:32:00Z,2016-11-11T03:40:00Z,6,480
2016-11-11,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-11T04:15:00Z,2016-11-11T04:22:00Z,5,420
2016-11-11,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-11T12:32:00Z,2016-11-11T12:35:00Z,2,180
2016-11-11,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-11-11T01:23:00Z,2016-11-11T02:43:00Z,54,4800
2016-11-11,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-11T06:45:00Z,2016-11-11T06:50:00Z,3,300
2016-11-11,A69-1601-52644,VR2W-115444,51.03955,4.16605,s-Vlassenbroek,2016-11-11T06:22:00Z,2016-11-11T06:23:00Z,2,60
2016-11-11,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-11T09:36:00Z,2016-11-11T09:53:00Z,10,1020
2016-11-11,A69-1601-52644,VR2W-122363,51.03203,4.18166,s-4a,2016-11-11T18:11:00Z,2016-11-11T18:15:00Z,4,240
2016-11-11,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-11T07:32:00Z,2016-11-11T08:39:00Z,43,4020
2016-11-11,A69-1601-52644,VR2W-115444,51.03955,4.16605,s-Vlassenbroek,2016-11-11T10:12:00Z,2016-11-11T10:13:00Z,2,60
2016-11-11,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-11-11T15:37:00Z,2016-11-11T15:48:00Z,8,660
2016-11-11,A69-1601-52644,VR2W-122367,51.05593,4.20024,s-4b,2016-11-11T22:10:00Z,2016-11-11T22:29:00Z,12,1140
2016-11-11,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-11-11T00:11:00Z,2016-11-11T00:14:00Z,2,180
